Prompt,Exactitud,ROUGE-L,Longitud promedio
Prompt 1,0.0,0.46743295019157083,10.0
Prompt 2,0.0,0.6666666666666666,2.0
Prompt 3,0.3333333333333333,0.48333333333333334,6.333333333333333
